
          ep,        Sb,          h
 ==================================
  0.1000E-01  0.9539E+03  0.5564E+04
  0.2000E-01  0.9952E+03  0.3167E+04
  0.3000E-01  0.1022E+04  0.2235E+04
  0.4000E-01  0.1041E+04  0.1735E+04
  0.5000E-01  0.1057E+04  0.1423E+04
  0.6000E-01  0.1070E+04  0.1208E+04
  0.7000E-01  0.1081E+04  0.1051E+04
  0.8000E-01  0.1091E+04  0.9315E+03
  0.9000E-01  0.1100E+04  0.8370E+03
  0.1000E+00  0.1108E+04  0.7604E+03
  0.1100E+00  0.1115E+04  0.6971E+03
  0.1200E+00  0.1122E+04  0.6438E+03
  0.1300E+00  0.1128E+04  0.5983E+03
  0.1400E+00  0.1134E+04  0.5590E+03
  0.1500E+00  0.1139E+04  0.5247E+03
  0.1600E+00  0.1144E+04  0.4945E+03
  0.1700E+00  0.1149E+04  0.4677E+03
  0.1800E+00  0.1154E+04  0.4438E+03
  0.1900E+00  0.1158E+04  0.4223E+03
  0.2000E+00  0.1162E+04  0.4028E+03
  0.2100E+00  0.1166E+04  0.3851E+03
  0.2200E+00  0.1170E+04  0.3689E+03
  0.2300E+00  0.1174E+04  0.3541E+03
  0.2400E+00  0.1177E+04  0.3405E+03
  0.2500E+00  0.1180E+04  0.3279E+03
  0.2600E+00  0.1184E+04  0.3162E+03
  0.2700E+00  0.1187E+04  0.3054E+03
  0.2800E+00  0.1190E+04  0.2953E+03
  0.2900E+00  0.1193E+04  0.2859E+03
  0.3000E+00  0.1195E+04  0.2771E+03
  0.3100E+00  0.1198E+04  0.2688E+03
  0.3200E+00  0.1201E+04  0.2611E+03
  0.3300E+00  0.1203E+04  0.2537E+03
  0.3400E+00  0.1206E+04  0.2468E+03
  0.3500E+00  0.1208E+04  0.2403E+03
  0.3600E+00  0.1211E+04  0.2341E+03
  0.3700E+00  0.1213E+04  0.2283E+03
  0.3800E+00  0.1215E+04  0.2227E+03
  0.3900E+00  0.1218E+04  0.2174E+03
  0.4000E+00  0.1220E+04  0.2124E+03
  0.4100E+00  0.1222E+04  0.2076E+03
  0.4200E+00  0.1224E+04  0.2030E+03
  0.4300E+00  0.1226E+04  0.1986E+03
  0.4400E+00  0.1228E+04  0.1944E+03
  0.4500E+00  0.1230E+04  0.1904E+03
  0.4600E+00  0.1232E+04  0.1866E+03
  0.4700E+00  0.1233E+04  0.1829E+03
  0.4800E+00  0.1235E+04  0.1794E+03
  0.4900E+00  0.1237E+04  0.1760E+03
  0.5000E+00  0.1239E+04  0.1727E+03
  0.5100E+00  0.1240E+04  0.1696E+03
  0.5200E+00  0.1242E+04  0.1666E+03
  0.5300E+00  0.1244E+04  0.1637E+03
  0.5400E+00  0.1245E+04  0.1609E+03
  0.5500E+00  0.1247E+04  0.1581E+03
  0.5600E+00  0.1249E+04  0.1555E+03
  0.5700E+00  0.1250E+04  0.1530E+03
  0.5800E+00  0.1252E+04  0.1505E+03
  0.5900E+00  0.1253E+04  0.1482E+03
  0.6000E+00  0.1255E+04  0.1459E+03
  0.6100E+00  0.1256E+04  0.1437E+03
  0.6200E+00  0.1258E+04  0.1415E+03
  0.6300E+00  0.1259E+04  0.1394E+03
  0.6400E+00  0.1260E+04  0.1374E+03
  0.6500E+00  0.1262E+04  0.1355E+03
  0.6600E+00  0.1263E+04  0.1335E+03
  0.6700E+00  0.1264E+04  0.1317E+03
  0.6800E+00  0.1266E+04  0.1299E+03
  0.6900E+00  0.1267E+04  0.1282E+03
  0.7000E+00  0.1268E+04  0.1265E+03
  0.7100E+00  0.1269E+04  0.1248E+03
  0.7200E+00  0.1271E+04  0.1232E+03
  0.7300E+00  0.1272E+04  0.1216E+03
  0.7400E+00  0.1273E+04  0.1201E+03
  0.7500E+00  0.1274E+04  0.1186E+03
  0.7600E+00  0.1275E+04  0.1172E+03
  0.7700E+00  0.1277E+04  0.1158E+03
  0.7800E+00  0.1278E+04  0.1144E+03
  0.7900E+00  0.1279E+04  0.1130E+03
  0.8000E+00  0.1280E+04  0.1117E+03
  0.8100E+00  0.1281E+04  0.1104E+03
  0.8200E+00  0.1282E+04  0.1092E+03
  0.8300E+00  0.1283E+04  0.1080E+03
  0.8400E+00  0.1284E+04  0.1068E+03
  0.8500E+00  0.1286E+04  0.1056E+03
  0.8600E+00  0.1287E+04  0.1045E+03
  0.8700E+00  0.1288E+04  0.1034E+03
  0.8800E+00  0.1289E+04  0.1023E+03
  0.8900E+00  0.1290E+04  0.1012E+03
  0.9000E+00  0.1291E+04  0.1002E+03
  0.9100E+00  0.1292E+04  0.9914E+02
  0.9200E+00  0.1293E+04  0.9814E+02
  0.9300E+00  0.1294E+04  0.9716E+02
  0.9400E+00  0.1295E+04  0.9620E+02
  0.9500E+00  0.1296E+04  0.9526E+02
  0.9600E+00  0.1296E+04  0.9434E+02
  0.9700E+00  0.1297E+04  0.9344E+02
  0.9800E+00  0.1298E+04  0.9255E+02
  0.9900E+00  0.1299E+04  0.9168E+02
  0.1000E+01  0.1300E+04  0.9083E+02


  0.0000E+00  0.8414E+03  0.2945E+05
  0.5000E-01  0.1057E+04  0.1423E+04
  0.2000E+00  0.1162E+04  0.4028E+03
  0.5000E+00  0.1239E+04  0.1727E+03

